time,stateEstimate.x,stateEstimate.y,stateEstimate.z,ctrltarget.x,
10823.9,-0.376462,-0.76926,0.697695,0,
10823.9,-0.376457,-0.769141,0.697691,0,
10823.9,-0.376511,-0.769165,0.697533,0,
10824,-0.376473,-0.769209,0.69763,0,
10824,-0.376521,-0.769151,0.697513,0,
10824,-0.376484,-0.769196,0.69761,0,
10824,-0.376515,-0.769111,0.697638,0,
10824,-0.376484,-0.769157,0.697737,0,
10824,-0.376465,-0.769105,0.697798,0,
10824,-0.376432,-0.769154,0.697896,0,
10824,-0.376469,-0.769058,0.697855,0,
10824,-0.376439,-0.769107,0.697954,0,
10824,-0.376465,-0.769092,0.697861,0,
10824.1,-0.376435,-0.769145,0.697957,0,
10824.1,-0.376454,-0.769117,0.697844,0,
10824.1,-0.376421,-0.769173,0.697936,0,
10824.1,-0.376386,-0.76923,0.698031,0,
10824.1,-0.376349,-0.769287,0.698128,0,
10824.1,-0.376387,-0.769086,0.697954,0,
10824.1,-0.376346,-0.769134,0.698048,0,
10824.1,-0.376305,-0.769182,0.698142,0,
10824.1,-0.376262,-0.76923,0.698236,0,
10824.1,-0.376381,-0.769021,0.69805,0,
10824.2,-0.376343,-0.769063,0.698147,0,
10824.2,-0.376419,-0.769095,0.697849,0,
10824.2,-0.376379,-0.769143,0.69794,0,
10824.2,-0.376527,-0.769138,0.697518,0,
10824.2,0,0,0,0,
10824.2,-0.765176,-0.844048,-0.33088,0,
10824.2,-0.765166,-0.844054,-0.330874,0,
10824.2,-0.765148,-0.844064,-0.330865,0,
10824.2,-0.765123,-0.844075,-0.330855,0,
10824.2,-0.723047,-0.818114,-0.311254,0,
10824.3,-0.707288,-0.812649,-0.305989,0,
10824.3,-0.70306,-0.812718,-0.307755,0,
10824.3,-0.69876,-0.812769,-0.309523,0,
10824.3,-0.692121,-0.810874,-0.309139,0,
10824.3,-0.687485,-0.810934,-0.310984,0,
10824.3,-0.685822,-0.809549,-0.308756,0,
10824.3,-0.681581,-0.809422,-0.310326,0,
10824.3,-0.68223,-0.808663,-0.304447,0,
10824.3,-0.678842,-0.808307,-0.305609,0,
10824.3,-0.680378,-0.807929,-0.296935,0,
10824.4,-0.681011,-0.808136,-0.28768,0,
10824.4,-0.679602,-0.807403,-0.288093,0,
10824.4,-0.67965,-0.807227,-0.280843,0,
10824.4,-0.678958,-0.80636,-0.281042,0,
10824.4,-0.67954,-0.806787,-0.273462,0,
10824.4,-0.679532,-0.805648,-0.27344,0,
10824.4,-0.679663,-0.804461,-0.273427,0,
10824.4,-0.679932,-0.803225,-0.273425,0,
10824.4,-0.680819,-0.805757,-0.26701,0,
10824.4,-0.681623,-0.804211,-0.266843,0,
10824.5,-0.681247,-0.805863,-0.262314,0,
10824.5,-0.682325,-0.804018,-0.262065,0,
10824.5,-0.68112,-0.805603,-0.257569,0,
10824.5,-0.682329,-0.80346,-0.257256,0,
10824.5,-0.680257,-0.805126,-0.251795,0,
10824.5,-0.681487,-0.802679,-0.251405,0,
10824.5,-0.67846,-0.804529,-0.244261,0,
10824.5,-0.679618,-0.801781,-0.243757,0,
10824.5,-0.675564,-0.803791,-0.234421,0,
10824.5,-0.67657,-0.800757,-0.233751,0,
10824.6,-0.67769,-0.797649,-0.23309,0,
10824.6,-0.678923,-0.794467,-0.232437,0,
10824.6,-0.66974,-0.802198,-0.215219,0,
10824.6,-0.670427,-0.799233,-0.214226,0,
10824.6,-0.663561,-0.802096,-0.198601,0,
10824.6,-0.663945,-0.798938,-0.1973,0,
10824.6,-0.657407,-0.801235,-0.181021,0,
10824.6,-0.657547,-0.797871,-0.179393,0,
10824.6,-0.650962,-0.800264,-0.162161,0,
10824.6,-0.650878,-0.796709,-0.160181,0,
10824.7,-0.644095,-0.799331,-0.141967,0,
10824.7,-0.643796,-0.795608,-0.139621,0,
10824.7,-0.636984,-0.798335,-0.120791,0,
10824.7,-0.63649,-0.79446,-0.118079,0,
10824.7,-0.629725,-0.797323,-0.0987833,0,
10824.7,-0.629063,-0.79331,-0.0957012,0,
10824.7,-0.622069,-0.796274,-0.0754699,0,
10824.7,-0.621245,-0.792147,-0.0720109,0,
10824.7,-0.620462,-0.787947,-0.0685552,0,
10824.7,-0.619721,-0.783675,-0.0651024,0,
10824.8,-0.610045,-0.794498,-0.0382354,0,
10824.8,-0.609033,-0.790811,-0.0342922,0,
10824.8,-0.60132,-0.794212,-0.0111186,0,
10824.8,-0.600163,-0.790465,-0.00676464,0,
10824.8,-0.592129,-0.793198,0.0176607,0,
10824.8,-0.590828,-0.789375,0.0224351,0,
10824.8,-0.582411,-0.791937,0.0482216,0,
10824.8,-0.580963,-0.788044,0.0534332,0,
10824.8,-0.572123,-0.790586,0.0806991,0,
10824.8,-0.570523,-0.786642,0.0863667,0,
10824.9,-0.561334,-0.789248,0.114829,0,
10824.9,-0.559578,-0.785277,0.12096,0,
10824.9,-0.550007,-0.787812,0.150635,0,
10824.9,-0.548089,-0.783834,0.157233,0,
10824.9,-0.538136,-0.786465,0.188057,0,
10824.9,-0.536053,-0.782504,0.195129,0,
10824.9,-0.525848,-0.784987,0.226753,0,
10824.9,-0.523599,-0.781056,0.234298,0,
10824.9,-0.51326,-0.783479,0.266425,0,
10824.9,-0.510849,-0.779592,0.274433,0,
10825,-0.500501,-0.781959,0.306574,0,
10825,-0.497929,-0.778134,0.315025,0,
10825,-0.487669,-0.780484,0.346852,0,
10825,-0.484941,-0.776741,0.355726,0,
10825,-0.474912,-0.778911,0.387053,0,
10825,-0.472046,-0.775253,0.396329,0,
10825,-0.462536,-0.777439,0.426084,0,
10825,-0.45955,-0.773887,0.43572,0,
10825,-0.450484,-0.775995,0.464087,0,
10825,-0.447386,-0.77256,0.474046,0,
10825.1,-0.438926,-0.77464,0.500497,0,
10825.1,-0.435734,-0.771329,0.510731,0,
10825.1,-0.428015,-0.773295,0.534873,0,
10825.1,-0.424742,-0.770109,0.545336,0,
10825.1,-0.417871,-0.772103,0.566932,0,
10825.1,-0.414537,-0.769049,0.577578,0,
10825.1,-0.40856,-0.770951,0.596373,0,
10825.1,-0.405184,-0.768025,0.607147,0,
10825.1,-0.39991,-0.769909,0.623708,0,
10825.1,-0.396506,-0.767113,0.634566,0,
10825.2,-0.392106,-0.768979,0.648375,0,
10825.2,-0.388692,-0.766311,0.659268,0,
10825.2,-0.384985,-0.768081,0.670925,0,
10825.2,-0.381572,-0.765537,0.681812,0,
10825.2,-0.378581,-0.767301,0.691264,0,
10825.2,-0.378581,-0.767301,0.691264,0,
10825.2,-0.372592,-0.766592,0.710082,0,
10825.2,-0.372592,-0.766592,0.710082,0,
10825.2,-0.367243,-0.765937,0.726993,0,
10825.2,-0.367243,-0.765937,0.726993,0,
10825.3,-0.362415,-0.765332,0.742254,0,
10825.3,-0.362415,-0.765332,0.742254,0,
10825.3,-0.358004,-0.764818,0.756066,0,
10825.3,-0.358004,-0.764818,0.756066,0,
10825.3,-0.354032,-0.764324,0.768646,0,
10825.3,-0.350793,-0.762416,0.778928,0,
10825.3,-0.347557,-0.760497,0.789212,0,
10825.3,-0.347557,-0.760497,0.789212,0,
10825.3,-0.34665,-0.763366,0.791947,0,
10825.3,-0.343472,-0.761715,0.802044,0,
10825.4,-0.34396,-0.763152,0.800525,0,
10825.4,-0.340856,-0.761583,0.810407,0,
10825.4,-0.341658,-0.762944,0.807794,0,
10825.4,-0.33863,-0.761441,0.817444,0,
10825.4,-0.339579,-0.762699,0.814472,0,
10825.4,-0.340554,-0.763815,0.811357,0,
10825.4,-0.337683,-0.762448,0.820529,0,
10825.4,-0.338729,-0.763568,0.817194,0,
10825.4,-0.335939,-0.762263,0.826122,0,
10825.4,-0.337111,-0.763317,0.822358,0,
10825.5,-0.334402,-0.762071,0.831036,0,
10825.5,-0.3357,-0.763174,0.826768,0,
10825.5,-0.333073,-0.761989,0.835185,0,
10825.5,-0.334387,-0.762975,0.830948,0,
10825.5,-0.331842,-0.76185,0.83911,0,
10825.5,-0.333307,-0.762774,0.834421,0,
10825.5,-0.330849,-0.761709,0.842321,0,
10825.5,-0.332368,-0.762659,0.837367,0,
10825.5,-0.329994,-0.761655,0.845001,0,
10825.5,-0.331507,-0.762523,0.840136,0,
10825.6,-0.329221,-0.76158,0.847513,0,
10825.6,-0.330796,-0.762423,0.842416,0,
10825.6,-0.328598,-0.76154,0.849528,0,
10825.6,-0.326408,-0.760658,0.85664,0,
10825.6,-0.324227,-0.759778,0.863753,0,
10825.6,-0.325274,-0.76164,0.859838,0,
10825.6,-0.323166,-0.761055,0.866653,0,
10825.6,-0.323694,-0.761131,0.865056,0,
10825.6,-0.321698,-0.760593,0.871561,0,
10825.6,-0.324264,-0.761268,0.863339,0,
10825.7,-0.322369,-0.760774,0.869541,0,
10825.7,-0.326625,-0.761815,0.85574,0,
10825.7,-0.324637,-0.761313,0.862237,0,
